Condo_Name,Condo_Initial_Price,Condo_Developer,Nearby_BTS_Station,Room_Type,Room_Size,Nearby_Transits,Location
คอนโด นิว อีโว อารีย์ (Nue Evo Ari) ,เริ่มต้น 3.9 ลบ. (ณ. วันเปิดตัว),โนเบิล,คอนโดโนเบิล ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่30.20ถึง56.10ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-300ม.)",ซอย อารีย์ 1 แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด เดอะ มูฟ ประดิพัทธ์ (The Muve Pradipat) ,เริ่มต้น 2.19 ลบ. (ณ. วันเปิดตัว),แสนสิริ|เดอะมูฟ,คอนโดแสนสิริ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,อื่นๆ",ตั้งแต่22.00ถึง49.75ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-500ม.)",ซอยประดิพัทธ์ 23 แขวงสามเสนใน เขตพญาไท กทม. 10400
คอนโด เมย์แฟร์ เพลส วิคทอรี่ โมนูเมนต์ (Mayfair Place Victory Monument) ,เริ่มต้น 3.9 ลบ. (ณ. วันเปิดตัว),พีทีเอฟเรียลตี้,คอนโดพีทีเอฟ เรียลตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,Penthouse",ตั้งแต่33.40ถึง131.50ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสนามเป้า),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสนามเป้า)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีดินแดง-500ม.)",ถนนวิภาวดีรังสิต แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด ซิลค์ พหลโยธิน-อารีย์ 2 (SILK PHAHOLYOTHIN-AREE 2) ,3.2 - 9.45 ลบ. (ณ. วันเปิดตัว),เคเอสเอเอสดีเวลอปเม้นท์,คอนโดเคเอสเอเอส ดีเวลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,Penthouse",ตั้งแต่45.00ถึง80.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)",ซอย พหลโยธิน 7 (อารีย์ 2) ถนน พหลโยธิน แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด เดอะทรี อนุสาวรีย์ (The Tree Victory Monument) ,เริ่มต้น 4.19 ลบ. (ณ. วันที่ 17/1/2022),พฤกษา|เดอะทรี,คอนโดพฤกษา ใกล้รถไฟฟ้า,1ห้องนอน,โปรดสอบถามข้อมูลกับทางโครงการ,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-850ม.)",ถนนดินแดง แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด ไอดีโอ พหล-สะพานควาย (Ideo  Phahol-Saphankwai) ,โปรดสอบถามข้อมูลกับทางโครงการ,อนันดาดีเวลลอปเม้นท์|ไอดีโอ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,โปรดสอบถามข้อมูลกับทางโครงการ,โปรดสอบถามข้อมูลกับทางโครงการ,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด คาร่า อารีย์-พระราม 6 (KARA ARI-RAMA 6) ,เริ่มต้น 7.99 ลบ. (ณ. วันที่ 21/6/2022),แกรนด์ยูนิตี้ดิเวลล็อปเมนท์|คาร่า,คอนโดแกรนด์ ยูนิตี้ ดิเวลล็อปเมนท์ ใกล้รถไฟฟ้า,2ห้องนอน,ตั้งแต่60.00ถึง61.50ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีบางซื่อ),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีบางซื่อ)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",150 1 ถนนพระรามที่ 6 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด ณ วีรา พหลฯ-อารีย์ (Na Veera Phahol-Ari) ,เริ่มต้น 2.79 ลบ. (ณ. วันที่ 28/3/2019),ณวรางค์แอสเซท,คอนโดณวรางค์ แอสเซท ใกล้รถไฟฟ้า,"1ห้องนอน,อื่นๆ",ตั้งแต่23.13ถึง33.55ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-850ม.)",ซ.พหลโยธิน 14 ถ.พหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400
คอนโด พาร์ค ออริจิ้น พญาไท (Park Origin Phayathai) ,เริ่มต้น 5.99 ลบ. (ณ. วันที่ 16/2/2021),ออริจิ้นพร็อพเพอร์ตี้|พาร์คออริจิ้น,คอนโดออริจิ้น พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,อื่นๆ",ตั้งแต่23.80ถึง55.20ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)",ถ.พญาไท เขตพญาไท กรุงเทพฯ
คอนโด โนเบิล อราวน์ อารีย์ (NOBLE AROUND ARI) ,เริ่มต้น 5.8 ลบ. (ณ. วันที่ 19/5/2022),โนเบิล,คอนโดโนเบิล ใกล้รถไฟฟ้า,1ห้องนอน,ตั้งแต่26.40ถึง44.70ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-90ม.)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด ไรส์ พหล - อินทามระ (Rise Phahon - Inthamara) ,เริ่มต้น 3.87 ลบ. (ณ. วันที่ 18/10/2022),ออลล์อินสไปร์ดีเวลลอปเม้นท์|ไรส์,คอนโดออลล์ อินสไปร์ ดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่25.00ถึง53.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-900ม.)",ถ.สุทธิสารวินิจฉัย แขวงสามเสนใน เขตพญาไท กรุงเทพ 10400
คอนโด ลุมพินี ซีเล็คเต็ด สุทธิสาร-สะพานควาย (Lumpini Selected Sutthisan-Saphankwai) ,เริ่มต้น 3.43 ลบ. (ณ. วันที่ 8/9/2020),ลุมพินีLPN|ลุมพินีซีเล็คเต็ด,คอนโดลุมพินี LPN ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน",ตั้งแต่25.00ถึง46.50ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-1กม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-1กม.)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-1.8กม.)",ซอยอินทามระ 7 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด เมโทรลักซ์ โรสโกลด์ พหลฯ-สุทธิสาร (Metro Luxe Rose Gold Phahol-Sutthisan) ,เริ่มต้น 5.59 ลบ. (ณ. วันที่ 28/2/2022),PropertyPerfect|เมโทรลักซ์,คอนโดProperty Perfect ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,อื่นๆ",ตั้งแต่25.70ถึง52.70ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีสุทธิสาร),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีสุทธิสาร)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ถ.สุทธิสารวินิจฉัย แขวงสามเสนใน เขตพญาไท กรุงเทพฯ
คอนโด เดอะรีเซิร์ฟ พหล-ประดิพัทธ์ (The Reserve Phahol-Pradipat) ,เริ่มต้น 4.79 ลบ. (ณ. วันที่ 28/8/2020),พฤกษา|เดอะทรี,คอนโดพฤกษา ใกล้รถไฟฟ้า,1ห้องนอน,ตั้งแต่28.40ถึง48.70ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีกำแพงเพชร),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีกำแพงเพชร)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-500ม.)",ถนนประดิพัทธิ์ แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด แซฟวี่ อารีย์ 4 (SAVVI ARI4) ,เริ่มต้น 5.18 ลบ. (ณ. วันที่ 31/7/2018),ดิเออเบิ้ลพร็อพเพอร์ตี้|แซฟวี่,คอนโดดิ เออเบิ้ล พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน,Duplex",ตั้งแต่35.31ถึง125.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-800ม.)",อารีย์ ซอย 4 แขวงสามเสนใน เขตพญาไท กทม.
คอนโด ดิ เอนวี่ สะพานควาย (The Envi Saphankwai) ,โปรดสอบถามข้อมูลกับทางโครงการ,อารียา|ดิเอนวี่,คอนโดอารียา ใกล้รถไฟฟ้า,สตูดิโอ,25.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-180ม.)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพ
คอนโด นอตติ้ง ฮิลล์ จตุจักร อินเตอร์เชนจ์ (Notting Hill Jatujak Interchange) ,เริ่มต้น 4.19 ลบ. (ณ. วันที่ 14/6/2022),ออริจิ้นพร็อพเพอร์ตี้|พาร์คออริจิ้น,คอนโดออริจิ้น พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่24.00ถึง52.40ตร.ม.,"ใกล้ทางด่วน(ศรีรัชและทางยกระดับโทล์เวย์),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีกำแพงเพชร),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีกำแพงเพชร)คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีสวนจตุจักร),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีกำแพงเพชร)คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีสวนจตุจักร)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีหมอชิต),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีกำแพงเพชร)คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีสวนจตุจักร)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีหมอชิต)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ซอยพหลโยธิน 18 แขวงสามเสนใน เขตพญาไท กทม.
คอนโด เดอะ ไลน์ พหลฯ-ประดิพัทธ์ (The Line Phahon - Pradipat) ,เริ่มต้น 4.39 ลบ. (ณ. วันที่ 18/3/2020),แสนสิริ|เดอะมูฟ,คอนโดแสนสิริ ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,Duplex",ตั้งแต่26.25ถึง111.50ตร.ม.,"ใกล้ทางด่วน,ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-550ม.)",ซอยประดิพัทธ์ แขวงสามเสนใน เขตพญาไท กทม. 10400
คอนโด แซฟวี่ พหลโยธิน-อารีย์ (SAVVI Phaholyothin-Ari) ,เริ่มต้น 2.49 ลบ. (ณ. วันเปิดตัว),ดิเออเบิ้ลพร็อพเพอร์ตี้|แซฟวี่,คอนโดดิ เออเบิ้ล พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,Duplex",ตั้งแต่23.48ถึง69.08ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)",ถนนพหลโยธิน ซอย 2 แขวงสามเสนใน เขตพญาไท กทม.
คอนโด ไอดีโอ มิกซ์ พหลโยธิน (Ideo Mix Phaholyothin) ,1.9 - 4.1 ลบ. (ณ. วันเปิดตัว),อนันดาดีเวลลอปเม้นท์|ไอดีโอ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่30.00ถึง58.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-10ม.)",ถ.พหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ
คอนโด ฟินน์ อารีย์ (Fynn Aree) ,เริ่มต้น 3.4 ล้านกว่าบาท (ณ. วันเปิดตัว),ฟินน์ดิเวลลอปเม้นท์,คอนโดฟินน์ ดิเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่27.00ตร.ม.,"ใกล้ทางด่วน(พระราม6),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-650ม.)",ซอยอารีย์ 2 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ
คอนโด เดอะ โมนูเมนต์ สนามเป้า (The Monument Sanampao) ,เริ่มต้น 12 ลบ. (ณ. วันที่ 23/2/2018),แสนสิริ|เดอะมูฟ,คอนโดแสนสิริ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่46.00ถึง137.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสนามเป้า-300ม.)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด เมโทรลักซ์ พหลโยธิน-สุทธิสาร (Metro Luxe Phaholyothin-Sutthisan) ,เริ่มต้น 2.3 ลบ. (ณ. วันที่ 5/2/2019),PropertyPerfect|เมโทรลักซ์,คอนโดProperty Perfect ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน",ตั้งแต่24.00ถึง62.20ตร.ม.,"ใกล้ทางด่วน,ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ถนนสุทธิสาร ซอยอินทามาระ 14 แขวงสามเสนใน เขตพญาไท กรุงเทพ
คอนโด เดอะ ซิกเนเจอร์ บาย เออร์บาโน่ (The Signature by Urbano) ,7 - 14 ลบ. (ณ. วันที่ 1/3/2019),พฤกษา|เดอะทรี,คอนโดพฤกษา ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่34.00ถึง85.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ
คอนโด เดอรูฟ (D' Rouvre) ,เริ่มต้น 6.8 ลบ. (ณ. วันเปิดตัว),ริชเชสยูเนี่ยน,คอนโดริชเชส ยูเนี่ยน ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่54.00ถึง90.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)",ซอยพหลโยธิน 2 แขวงสามเสนใน เขตพญาไท กทม.
คอนโด เดอะ รีมาร์คเอเบิล (The Remarkable) ,4 - 7 ลบ. (ณ. วันที่ 31/3/2019),เอเบิ้ลแอสเสท,คอนโดเอเบิ้ล แอสเสท ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่28.60ถึง56.70ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-600ม.)",ซอยพหลโยธิน 9 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด ชาโตว์ อินทาวน์ พหลโยธิน 14-2 (Chateau In Town Phaholyothin 14-2) ,2.68 - 5 ลบ. (ณ. วันที่ 26/11/2013),พระยาพาณิชย์พร็อพเพอร์ตี้(ในเครือเจ้าพระยามหานคร)|ชาโตว์อินทาวน์,คอนโดพระยาพาณิชย์ พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่30.00ถึง56.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-900ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-900ม.)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-900ม.)",ซอยพหลโยธิน 14 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด ดี เมโมเรีย พหลโยธิน 8 (D 'Memoria Phaholyothin 8) ,เริ่มต้น 3.39 ลบ. (ณ. วันเปิดตัว),ดีเวลแกรนด์แอสเสท,คอนโดดีเวล แกรนด์ แอสเสท ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่35.69ถึง73.01ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-900ม.)",ถนนพหลโยธิน ซอย 8 แขวงสามเสนใน เขตพญาไท กทม.
คอนโด เซ็นทริค อารีย์ สเตชั่น (Centric Ari Station) ,เริ่มต้น 4.79 ลบ. (ณ. วันที่ 29/9/2017),เอสซีแอสเสท|เซ็นทริค,คอนโดเอสซีแอสเสท ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,ห้องชุดร้านค้า",ตั้งแต่25.50ถึง60.00ตร.ม.,"ใกล้ทางด่วน(พระราม6),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-380ม.)",ถนนพหลโยธิน ซอย 5 (ซอยราชครู) แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด ดิ เอดิเตอร์ สะพานควาย(The Editor Saphan Khwai) ,เริ่มต้น 4.7 ลบ. (ณ. วันที่ 28/2/2019),พฤกษา|เดอะทรี,คอนโดพฤกษา ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,ห้องชุดร้านค้า",ตั้งแต่27.21ถึง51.19ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด โซซิโอ อินทามระ (Socio Inthamara) ,เริ่มต้น 2.2 ล้านกว่าบาท (ณ. วันที่ 13/5/2013),บิวดิ้งพร็อพเพอร์ตี้,คอนโดบิวดิ้ง พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่31.93ถึง57.55ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ถนนสุทธิสารวินิจฉัย ซอยอินทามระ 4 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด ซิลค์ พหลโยธิน 3 (Silk Phaholyothin 3) ,เริ่มต้น 2.4 ลบ. (ณ. วันเปิดตัว),เคเอสเอเอสดีเวลอปเม้นท์,คอนโดเคเอสเอเอส ดีเวลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,Penthouse",ตั้งแต่33.25ถึง78.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสนามเป้า)",พหลโยธิน ซอย 3 (ซอยลือชา 2) ถ.พหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ
คอนโด ซิลค์ สนามเป้า (Silk Sanampao) ,เริ่มต้น 2.9 ลบ. (ณ. วันที่ 8/11/2012),เคเอสเอเอสดีเวลอปเม้นท์,คอนโดเคเอสเอเอส ดีเวลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่38.00ถึง77.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสนามเป้า-140ม.)",ซอยพหลโยธิน 3 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด ซิลค์ พหลโยธิน 9 (Silk Phaholyothin 9) ,เริ่มต้น 2.89 ลบ. (ณ. วันเปิดตัว),เคเอสเอเอสดีเวลอปเม้นท์,คอนโดเคเอสเอเอส ดีเวลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่35.50ถึง77.50ตร.ม.,"ใกล้ทางด่วน(พระราม6),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)",ซอยพหลโยธิน 9 (ซอยสีฟ้า) ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
